S(cm);T1(s);T2(s);T3(s);T4(s);T5(s);T6(s);T7(s);T8(s)
0;1.4;1.7;1.25;1.25;0.97;;;
5;3.02;3.69;2.55;2.68;1.97;2.55;2.63;2.7
10;4.76;5.69;4.82;4.85;4.23;4.67;4.64;4.79
15;6.87;7.66;6.76;6.6;6.53;6.62;6.57;6.81
20;8.79;9.56;8.59;8.46;8.55;8.56;8.57;8.75
25;10.64;11.26;10.4;10.42;10.34;10.5;10.4;10.64
30;12.55;13.25;12.3;12.2;12.24;12.37;12.4;12.54
35;14.32;15.08;14.19;14.18;14;14.31;14.3;14.5
40;16.17;16.86;15.89;16.04;15.69;16.1;16.07;16.3
45;17.91;18.66;17.7;17.8;17.53;17.87;17.86;18.12
50;19.47;20.28;19.26;19.38;19.4;19.59;19.53;19.81
55;21.13;21.77;20.92;21.03;20.88;21.38;21.33;21.56
60;22.78;23.18;22.54;22.71;22.51;23.15;23.26;23.42
65;24.58;25.17;24.37;24.5;24.07;25.16;25.14;25.44
